group_id,num_nodes,num_edges,num_closed_edges,in_degrees,max_in_degree,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
n10,13,17,64,"0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 4, 1",4,1.3076923076923077,3,0.8205128205128205,n10o0.7-1.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.036312,0.0,2
n10,13,23,64,"0, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 3, 3",3,1.7692307692307692,6,0.8205128205128205,n10o0.7-10.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.192168,0.305734,2
n10,13,23,64,"0, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 3, 3",3,1.7692307692307692,6,0.8205128205128205,n10o0.7-10.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.030235,0.0,2
n10,13,17,64,"0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3",3,1.3076923076923077,4,0.8205128205128205,n10o0.7-2.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.041341,0.041341,2
n10,13,17,64,"0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3",3,1.3076923076923077,4,0.8205128205128205,n10o0.7-2.rcp,MULTIFLOW,2.0,1,11.0,11.0,0.0,0.027724,0.0,2
n10,13,19,64,"0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3, 2, 2",3,1.4615384615384615,6,0.8205128205128205,n10o0.7-3.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.100524,0.141417,2
n10,13,19,64,"0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3, 2, 2",3,1.4615384615384615,6,0.8205128205128205,n10o0.7-3.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.035701,0.0,2
n10,13,19,64,"0, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2",2,1.4615384615384615,7,0.8205128205128205,n10o0.7-4.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.078274,0.127561,2
n10,13,19,64,"0, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2",2,1.4615384615384615,7,0.8205128205128205,n10o0.7-4.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.035924,0.0,2
n10,13,21,64,"0, 1, 1, 1, 2, 1, 1, 3, 3, 2, 1, 2, 3",3,1.6153846153846154,6,0.8205128205128205,n10o0.7-5.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.073428,0.114319,2
n10,13,21,64,"0, 1, 1, 1, 2, 1, 1, 3, 3, 2, 1, 2, 3",3,1.6153846153846154,6,0.8205128205128205,n10o0.7-5.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.031221,0.0,2
n10,13,17,64,"0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 3",3,1.3076923076923077,4,0.8205128205128205,n10o0.7-6.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.09076,0.130545,2
n10,13,17,64,"0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 3",3,1.3076923076923077,4,0.8205128205128205,n10o0.7-6.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.034895,0.0,2
n10,13,19,64,"0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 4",4,1.4615384615384615,3,0.8205128205128205,n10o0.7-7.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,0.458041,0.719603,2
n10,13,19,64,"0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 4",4,1.4615384615384615,3,0.8205128205128205,n10o0.7-7.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.024955,0.0,2
n10,13,18,64,"0, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 2",3,1.3846153846153846,5,0.8205128205128205,n10o0.7-8.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.088059,0.128368,2
n10,13,18,64,"0, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 2",3,1.3846153846153846,5,0.8205128205128205,n10o0.7-8.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.032391,0.0,2
n10,13,21,64,"0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 3",3,1.6153846153846154,7,0.8205128205128205,n10o0.7-9.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.198874,0.314645,2
n10,13,21,64,"0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 3",3,1.6153846153846154,7,0.8205128205128205,n10o0.7-9.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.034058,0.0,2
n10,13,17,69,"0, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2",2,1.3076923076923077,5,0.8846153846153846,n10o0.8-1.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.074597,0.12315,2
n10,13,17,69,"0, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2",2,1.3076923076923077,5,0.8846153846153846,n10o0.8-1.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.027074,0.0,2
n10,13,18,69,"0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 2, 2",3,1.3846153846153846,4,0.8846153846153846,n10o0.8-10.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.174815,0.288029,2
n10,13,18,69,"0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 2, 2",3,1.3846153846153846,4,0.8846153846153846,n10o0.8-10.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.025363,0.0,2
n10,13,17,69,"0, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1",2,1.3076923076923077,5,0.8846153846153846,n10o0.8-2.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.039003,0.049593,2
n10,13,17,69,"0, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1",2,1.3076923076923077,5,0.8846153846153846,n10o0.8-2.rcp,MULTIFLOW,2.0,1,11.0,11.0,0.0,0.025323,0.0,2
n10,13,17,69,"0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2",2,1.3076923076923077,5,0.8846153846153846,n10o0.8-3.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.081187,0.129394,2
n10,13,17,69,"0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2",2,1.3076923076923077,5,0.8846153846153846,n10o0.8-3.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.027075,0.0,2
n10,13,17,69,"0, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 3",3,1.3076923076923077,4,0.8846153846153846,n10o0.8-4.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.07296,0.112568,2
n10,13,17,69,"0, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 3",3,1.3076923076923077,4,0.8846153846153846,n10o0.8-4.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.02957,0.0,2
n10,13,18,69,"0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2",2,1.3846153846153846,6,0.8846153846153846,n10o0.8-5.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.086251,0.135397,2
n10,13,18,69,"0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2",2,1.3846153846153846,6,0.8846153846153846,n10o0.8-5.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.026612,0.0,2
n10,13,20,69,"0, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, 2",3,1.5384615384615385,7,0.8846153846153846,n10o0.8-6.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.16917,0.281654,2
n10,13,20,69,"0, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, 2",3,1.5384615384615385,7,0.8846153846153846,n10o0.8-6.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.028381,0.0,2
n10,13,16,69,"0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1",2,1.2307692307692308,4,0.8846153846153846,n10o0.8-7.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.089278,0.137807,2
n10,13,16,69,"0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1",2,1.2307692307692308,4,0.8846153846153846,n10o0.8-7.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.023992,0.0,2
