num_closed_edges,max_in_degree,closed_edge_density,group_id,instance,nodes_indegree_gt_one,mean_in_degree,num_edges,algorithm,num_nodes,algorithm_right,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
2145,8,0.8162100456621004,n70,n70os0.8-6.rcp,64,3.7260273972602738,272,MULTIFLOW,73,MULTIFLOW,37.0,1113,36.0,48.0,0.0,18001.233771,0.0,9
2145,9,0.8162100456621004,n70,n70os0.8-7.rcp,62,3.808219178082192,278,MULTIFLOW,73,,,,,,,,,
2145,7,0.8162100456621004,n70,n70os0.8-8.rcp,62,3.684931506849315,269,MULTIFLOW,73,,,,,,,,,
2145,9,0.8162100456621004,n70,n70os0.8-9.rcp,60,3.780821917808219,276,MULTIFLOW,73,MULTIFLOW,30.0,2081,43.0,47.0,0.0,18001.209042,0.0,9
2386,6,0.9079147640791476,n70,n70os0.9-1.rcp,55,2.3972602739726026,175,MULTIFLOW,73,MULTIFLOW,26.0,13314,47.0,47.0,0.0,2456.834335,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-10.rcp,60,2.493150684931507,182,MULTIFLOW,73,MULTIFLOW,27.0,8357,46.0,46.0,0.0,1608.566629,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-2.rcp,63,2.5342465753424657,185,MULTIFLOW,73,MULTIFLOW,26.0,22533,47.0,47.0,0.0,5039.136473,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-3.rcp,57,2.6027397260273974,190,MULTIFLOW,73,MULTIFLOW,28.0,23203,45.0,45.0,0.0,3612.620807,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-4.rcp,60,2.5205479452054793,184,MULTIFLOW,73,MULTIFLOW,25.0,3336,48.0,48.0,0.0,1882.923564,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-5.rcp,60,2.767123287671233,202,MULTIFLOW,73,MULTIFLOW,27.0,2801,46.0,46.0,0.0,1174.953739,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-6.rcp,53,2.6027397260273974,190,MULTIFLOW,73,MULTIFLOW,28.0,929,45.0,45.0,0.0,352.287693,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-7.rcp,64,2.4794520547945207,181,MULTIFLOW,73,MULTIFLOW,24.0,23,49.0,49.0,0.0,124.32028,0.0,2
2386,7,0.9079147640791476,n70,n70os0.9-8.rcp,56,2.506849315068493,183,MULTIFLOW,73,MULTIFLOW,28.0,154352,45.0,45.0,0.0,13451.697581,0.0,2
2386,4,0.9079147640791476,n70,n70os0.9-9.rcp,63,2.6301369863013697,192,MULTIFLOW,73,MULTIFLOW,26.0,1058,47.0,47.0,0.0,519.991083,0.0,2
2507,3,0.9539573820395738,n70,n70os0.95-1.rcp,48,1.8904109589041096,138,MULTIFLOW,73,MULTIFLOW,23.0,1,50.0,50.0,0.0,5.828753,0.0,2
2507,5,0.9539573820395738,n70,n70os0.95-10.rcp,48,1.8904109589041096,138,MULTIFLOW,73,MULTIFLOW,25.0,1,48.0,48.0,0.0,3.311453,0.0,2
2507,3,0.9539573820395738,n70,n70os0.95-2.rcp,44,1.8767123287671232,137,MULTIFLOW,73,MULTIFLOW,24.0,1,49.0,49.0,0.0,4.624711,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-3.rcp,44,1.904109589041096,139,MULTIFLOW,73,MULTIFLOW,27.0,1,46.0,46.0,0.0,9.200351,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-4.rcp,43,1.917808219178082,140,MULTIFLOW,73,MULTIFLOW,24.0,9,49.0,49.0,0.0,11.24293,0.0,2
