instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,status,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,num_edges,num_closed_edges,group_id,algorithm_right,max_in_degree,num_nodes,instance_type,runtime
n30s0.5-3.rcp,SMART_HEURISTIC,15.0,0,0.0,0.0,0.0,,2.515151515151515,19,0.5871212121212122,83,310,n30,FEASIBILITY,7,33,generated,0.033026
n40os0.7-3.rcp,SMART_HEURISTIC,18.0,0,0.0,0.0,0.0,,3.255813953488372,31,0.7408637873754153,140,669,n40,FEASIBILITY,8,43,generated,0.07665
n60os0.2-2.rcp,SMART_HEURISTIC,41.0,0,0.0,0.0,0.0,,4.587301587301587,34,0.2749615975422427,289,537,n60,FEASIBILITY,24,63,generated,0.346727
n60os0.95-3.rcp,SMART_HEURISTIC,20.0,0,0.0,0.0,0.0,,1.7142857142857142,35,0.9544290834613415,108,1864,n60,FEASIBILITY,3,63,generated,0.154485
n70os0.9-7.rcp,SMART_HEURISTIC,26.0,0,0.0,0.0,0.0,,2.4794520547945207,64,0.9079147640791476,181,2386,n70,FEASIBILITY,5,73,generated,0.309251
n40os0.5-1.rcp,SMART_HEURISTIC,22.0,0,0.0,0.0,0.0,,4.023255813953488,31,0.5681063122923588,173,513,n40,FEASIBILITY,10,43,generated,0.092116
n10os0.9-4.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.2307692307692308,4,0.9358974358974359,16,73,n10,FEASIBILITY,2,13,generated,0.130445
n30s0.2-6.rcp,SMART_HEURISTIC,18.0,0,0.0,0.0,0.0,,2.515151515151515,13,0.3409090909090909,83,180,n30,FEASIBILITY,12,33,generated,0.042679
n10o0.5-10.rcp,SMART_HEURISTIC,4.0,0,0.0,0.0,0.0,,1.6923076923076923,6,0.7051282051282052,22,55,n10,FEASIBILITY,4,13,generated,0.00375
br17.12.sop.ajn.txt,SMART_HEURISTIC,2.0,0,0.0,0.0,0.0,,1.0588235294117647,2,0.27941176470588236,18,38,sop,FEASIBILITY,2,17,sop,0.002401
n70os0.9-5.rcp,SMART_HEURISTIC,30.0,0,0.0,0.0,0.0,,2.767123287671233,60,0.9079147640791476,202,2386,n70,FEASIBILITY,5,73,generated,0.337431
rbg048a.sop.ajn.txt,SMART_HEURISTIC,32.0,0,0.0,0.0,0.0,,4.0,14,0.42091836734693877,196,495,sop,FEASIBILITY,18,49,sop,0.17033
n60os0.9-9.rcp,SMART_HEURISTIC,23.0,0,0.0,0.0,0.0,,2.3015873015873014,44,0.9093701996927803,145,1776,n60,FEASIBILITY,5,63,generated,0.17242
n50os0.2-3.rcp,SMART_HEURISTIC,34.0,0,0.0,0.0,0.0,,3.9056603773584904,25,0.2888243831640058,207,398,n50,FEASIBILITY,20,53,generated,0.231942
n50os0.9-10.rcp,SMART_HEURISTIC,21.0,0,0.0,0.0,0.0,,2.207547169811321,42,0.9107402031930334,117,1255,n50,FEASIBILITY,4,53,generated,0.111558
n30os0.95-2.rcp,FEASIBILITY,9.0,1,10.0,10.0,0.0,2,1.4545454545454546,14,0.9583333333333334,48,506,n30,FEASIBILITY,3,33,generated,176.864636
rbg378a.sop.ajn.txt,SMART_HEURISTIC,270.0,0,0.0,0.0,0.0,,8.105540897097626,369,0.89295137580098,3072,63963,sop,FEASIBILITY,31,379,sop,495.299549
n50os0.7-9.rcp,SMART_HEURISTIC,25.0,0,0.0,0.0,0.0,,3.4339622641509435,41,0.7329462989840348,182,1010,n50,FEASIBILITY,8,53,generated,0.149468
n20o0.9-10.rcp,SMART_HEURISTIC,7.0,0,0.0,0.0,0.0,,1.5217391304347827,10,0.924901185770751,35,234,n20,FEASIBILITY,3,23,generated,0.008852
n40os0.5-2.rcp,SMART_HEURISTIC,22.0,0,0.0,0.0,0.0,,3.7209302325581395,29,0.5681063122923588,160,513,n40,FEASIBILITY,9,43,generated,0.087728
n30s0.7-9.rcp,FEASIBILITY,12.0,3522,13.0,13.0,0.0,2,2.8181818181818183,25,0.7518939393939394,93,397,n30,FEASIBILITY,5,33,generated,3108.734427
n70os0.2-3.rcp,SMART_HEURISTIC,48.0,0,0.0,0.0,0.0,,5.698630136986301,41,0.2648401826484018,416,696,n70,FEASIBILITY,29,73,generated,0.555323
n10os0.9-5.rcp,SMART_HEURISTIC,3.0,0,0.0,0.0,0.0,,1.3076923076923077,5,0.9358974358974359,17,73,n10,FEASIBILITY,2,13,generated,0.002906
n30os0.95-1.rcp,SMART_HEURISTIC,7.0,0,0.0,0.0,0.0,,1.393939393939394,13,0.9583333333333334,46,506,n30,FEASIBILITY,3,33,generated,0.016426
n10o0.2-1.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,2,1.5384615384615385,3,0.5384615384615384,20,42,n10,FEASIBILITY,6,13,generated,0.78826
n70os0.8-1.rcp,SMART_HEURISTIC,32.0,0,0.0,0.0,0.0,,3.191780821917808,55,0.8162100456621004,233,2145,n70,FEASIBILITY,7,73,generated,0.342773
n70os0.95-8.rcp,SMART_HEURISTIC,27.0,0,0.0,0.0,0.0,,1.8904109589041096,44,0.9539573820395738,138,2507,n70,FEASIBILITY,5,73,generated,0.249928
n10o0.2-1.rcp,SMART_HEURISTIC,6.0,0,0.0,0.0,0.0,,1.5384615384615385,3,0.5384615384615384,20,42,n10,FEASIBILITY,6,13,generated,0.007582
n10o0.8-7.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.2307692307692308,4,0.8846153846153846,16,69,n10,FEASIBILITY,2,13,generated,0.137807
n30os0.9-10.rcp,FEASIBILITY,11.0,1,12.0,12.0,0.0,2,1.6666666666666667,18,0.9166666666666666,55,484,n30,FEASIBILITY,3,33,generated,468.53439
n30s0.8-8.rcp,SMART_HEURISTIC,13.0,0,0.0,0.0,0.0,,2.303030303030303,22,0.8352272727272727,76,441,n30,FEASIBILITY,4,33,generated,0.032689
n20o0.7-6.rcp,FEASIBILITY,9.0,1,10.0,10.0,0.0,2,2.4347826086956523,16,0.7747035573122529,56,196,n20,FEASIBILITY,5,23,generated,68.507495
n50os0.95-3.rcp,SMART_HEURISTIC,17.0,0,0.0,0.0,0.0,,1.6603773584905661,27,0.9550072568940493,88,1316,n50,FEASIBILITY,4,53,generated,0.092306
ry48p.3.sop.ajn.txt,SMART_HEURISTIC,12.0,0,0.0,0.0,0.0,,1.2708333333333333,9,0.15868794326241134,61,179,sop,FEASIBILITY,5,48,sop,0.019764
n30s0.7-10.rcp,SMART_HEURISTIC,14.0,0,0.0,0.0,0.0,,2.4545454545454546,23,0.7518939393939394,81,397,n30,FEASIBILITY,6,33,generated,0.033568
n20o0.9-5.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,2,1.391304347826087,8,0.924901185770751,32,234,n20,FEASIBILITY,3,23,generated,2.017824
n30os0.9-4.rcp,SMART_HEURISTIC,9.0,0,0.0,0.0,0.0,,1.7878787878787878,21,0.9166666666666666,59,484,n30,FEASIBILITY,3,33,generated,0.02176
n20o0.9-5.rcp,SMART_HEURISTIC,5.0,0,0.0,0.0,0.0,,1.391304347826087,8,0.924901185770751,32,234,n20,FEASIBILITY,3,23,generated,0.007128
n50os0.9-8.rcp,SMART_HEURISTIC,20.0,0,0.0,0.0,0.0,,2.1320754716981134,35,0.9107402031930334,113,1255,n50,FEASIBILITY,5,53,generated,0.102144
n10os0.9-8.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.3076923076923077,5,0.9358974358974359,17,73,n10,FEASIBILITY,2,13,generated,0.13072
n10os0.9-9.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.1538461538461537,2,0.9358974358974359,15,73,n10,FEASIBILITY,3,13,generated,0.11994
n60os0.7-10.rcp,SMART_HEURISTIC,29.0,0,0.0,0.0,0.0,,3.873015873015873,50,0.728110599078341,244,1422,n60,FEASIBILITY,9,63,generated,0.268318
n20o0.2-1.rcp,SMART_HEURISTIC,10.0,0,0.0,0.0,0.0,,2.0869565217391304,7,0.39920948616600793,48,101,n20,FEASIBILITY,8,23,generated,0.013918
n10o0.5-6.rcp,SMART_HEURISTIC,4.0,0,0.0,0.0,0.0,,1.6923076923076923,6,0.7051282051282052,22,55,n10,FEASIBILITY,4,13,generated,0.003228
n10o0.2-4.rcp,FEASIBILITY,6.0,1,7.0,7.0,0.0,2,1.4615384615384615,3,0.5384615384615384,19,42,n10,FEASIBILITY,4,13,generated,5.986883
n20o0.95-9.rcp,SMART_HEURISTIC,5.0,0,0.0,0.0,0.0,,1.3043478260869565,8,0.9604743083003953,30,243,n20,FEASIBILITY,2,23,generated,0.007146
n50os0.9-9.rcp,SMART_HEURISTIC,19.0,0,0.0,0.0,0.0,,2.169811320754717,36,0.9107402031930334,115,1255,n50,FEASIBILITY,4,53,generated,0.095156
n10o0.8-6.rcp,SMART_HEURISTIC,4.0,0,0.0,0.0,0.0,,1.5384615384615385,7,0.8846153846153846,20,69,n10,FEASIBILITY,3,13,generated,0.003204
n30s0.7-3.rcp,SMART_HEURISTIC,14.0,0,0.0,0.0,0.0,,2.757575757575758,22,0.7518939393939394,91,397,n30,FEASIBILITY,5,33,generated,0.034001
n60os0.95-9.rcp,SMART_HEURISTIC,22.0,0,0.0,0.0,0.0,,1.8571428571428572,38,0.9544290834613415,117,1864,n60,FEASIBILITY,4,63,generated,0.162505
